Charge_in_mAh,Current,Voltage,Temperature
23.2539,0.6721,4.984,23.9395
23.2539,0.6704,4.984,23.9395
24.4766,0.6704,4.984,23.9395
24.4766,0.671,4.984,23.9395
24.4766,0.671,4.9847,23.9395
24.4766,0.671,4.9843,23.9395
24.4766,0.6692,4.984,23.9395
24.4766,0.6698,4.9847,23.9395
24.4766,0.6686,4.9843,23.9395
24.4766,0.668,4.9847,23.9395
24.4766,0.668,4.9847,23.9395
25.7031,0.6686,4.9843,23.9395
25.7031,0.6692,4.9843,23.9395
25.7031,0.6686,4.985,24.1885
25.7031,0.668,4.9847,24.1885
25.7031,0.6692,4.9847,24.1885
25.7031,0.6692,4.9847,24.1885
25.7031,0.6686,4.9847,24.1885
25.7031,0.6686,4.9847,24.1885
25.7031,0.6704,4.9843,24.1885
26.9258,0.668,4.9847,24.1885
26.9258,0.671,4.9847,24.1885
26.9258,0.6692,4.9847,24.1885
26.9258,0.671,4.984,24.1885
26.9258,0.6704,4.9847,24.1885
26.9258,0.6704,4.9847,24.1885
26.9258,0.6692,4.9847,24.1885
26.9258,0.6698,4.9847,24.1885
26.9258,0.6698,4.9843,24.1885
28.1523,0.6686,4.9843,24.1885
28.1523,0.671,4.9847,24.1885
28.1523,0.6692,4.9847,24.1885
28.1523,0.6692,4.9847,24.1885
28.1523,0.6692,4.9843,24.1885
28.1523,0.6704,4.9843,24.1885
28.1523,0.671,4.9847,24.1885
28.1523,0.6698,4.985,24.1885
29.3711,0.6704,4.9847,24.1885
29.3711,0.6686,4.985,24.1885
29.3711,0.6692,4.985,24.1885
29.3711,0.6686,4.985,24.1885
29.3711,0.6692,4.985,24.1885
29.3711,0.668,4.9847,24.1885
29.3711,0.6669,4.9847,24.1885
29.3711,0.6686,4.985,24.1885
29.3711,0.6674,4.985,24.1885
30.5976,0.6674,4.9858,24.1885
30.5976,0.668,4.985,24.1885
30.5976,0.6669,4.985,24.1885
30.5976,0.6663,4.9854,24.1885
30.5976,0.6674,4.985,24.1885
30.5976,0.6663,4.9854,24.1885
30.5976,0.6645,4.9858,24.1885
30.5976,0.6657,4.9854,24.1885
30.5976,0.6651,4.9861,24.4376
31.8203,0.6639,4.9865,24.4376
31.8203,0.6657,4.9865,24.4376
31.8203,0.6645,4.9861,24.4376
31.8203,0.6657,4.9861,24.4376
31.8203,0.6645,4.9865,24.4376
31.8203,0.6651,4.9858,24.4376
31.8203,0.6663,4.9858,24.4376
31.8203,0.6633,4.9861,24.4376
31.8203,0.6663,4.9861,24.4376
33.0469,0.6651,4.9861,24.4376
33.0469,0.6651,4.9865,24.4376
33.0469,0.6651,4.9865,24.4376
33.0469,0.6633,4.9876,24.4376
33.0469,0.6639,4.9865,24.4376
33.0469,0.6628,4.9868,24.4376
33.0469,0.6604,4.9868,24.4376
33.0469,0.6616,4.9872,24.4376
33.0469,0.6622,4.9868,24.4376
34.2695,0.6628,4.9868,24.4376
34.2695,0.6622,4.9868,24.4376
34.2695,0.6622,4.9872,24.4376
34.2695,0.6616,4.9868,24.4376
34.2695,0.6598,4.9872,24.4376
34.2695,0.6622,4.9868,24.4376
34.2695,0.6616,4.9872,24.4376
34.2695,0.6616,4.9876,24.4376
34.2695,0.661,4.9876,24.4376
35.4922,0.661,4.9872,24.4376
35.4922,0.6598,4.9872,24.4376
35.4922,0.6616,4.9876,24.4376
